Date,NewCases,7-DayAverage
2020-02-04,1,
2020-02-05,0,
2020-02-06,0,
2020-02-07,0,
2020-02-08,0,
2020-02-09,0,
2020-02-10,0,0.14
2020-02-11,0,0.00
2020-02-12,0,0.00
2020-02-13,0,0.00
2020-02-14,0,0.00
2020-02-15,0,0.00
2020-02-16,0,0.00
2020-02-17,0,0.00
2020-02-18,0,0.00
2020-02-19,0,0.00
2020-02-20,0,0.00
2020-02-21,0,0.00
2020-02-22,0,0.00
2020-02-23,0,0.00
2020-02-24,0,0.00
2020-02-25,0,0.00
2020-02-26,1,0.14
2020-02-27,1,0.29
2020-02-28,8,1.43
2020-02-29,3,1.86
2020-03-01,0,1.86
2020-03-02,5,2.57
2020-03-03,13,4.43
2020-03-04,30,8.57
2020-03-05,25,12.00
2020-03-06,59,19.29
2020-03-07,33,23.57
2020-03-08,46,30.14
2020-03-09,101,43.86
2020-03-10,98,56.00
2020-03-11,196,79.71
2020-03-12,151,97.71
2020-03-13,152,111.00
2020-03-14,71,116.43
2020-03-15,69,119.71
2020-03-16,83,117.14
2020-03-17,119,120.14
2020-03-18,145,112.86
2020-03-19,143,111.71
2020-03-20,180,115.71
2020-03-21,136,125.00
2020-03-22,118,132.00
2020-03-23,182,146.14
2020-03-24,230,162.00
2020-03-25,314,186.14
2020-03-26,286,206.57
2020-03-27,365,233.00
2020-03-28,300,256.43
2020-03-29,280,279.57
2020-03-30,416,313.00
2020-03-31,474,347.86
2020-04-01,486,372.43
2020-04-02,554,410.71
2020-04-03,602,444.57
2020-04-04,357,452.71
2020-04-05,340,461.29
2020-04-06,389,457.43
2020-04-07,739,495.29
2020-04-08,654,519.29
2020-04-09,645,532.29
2020-04-10,454,511.14
2020-04-11,395,516.57
2020-04-12,464,534.29
2020-04-13,437,541.14
2020-04-14,479,504.00
2020-04-15,604,496.86
2020-04-16,623,493.71
2020-04-17,689,527.29
2020-04-18,532,546.86
2020-04-19,388,536.00
2020-04-20,461,539.43
2020-04-21,707,572.00
2020-04-22,723,589.00
2020-04-23,758,608.29
2020-04-24,781,621.43
2020-04-25,473,613.00
2020-04-26,300,600.43
2020-04-27,563,615.00
2020-04-28,742,620.00
2020-04-29,799,630.86
2020-04-30,636,613.43
2020-05-01,532,577.86
2020-05-02,299,553.00
2020-05-03,261,547.43
2020-05-04,477,535.14
2020-05-05,657,523.00
2020-05-06,745,515.29
2020-05-07,785,536.57
2020-05-08,701,560.71
2020-05-09,509,590.71
2020-05-10,279,593.29
2020-05-11,455,590.14
2020-05-12,754,604.00
2020-05-13,698,597.29
2020-05-14,657,579.00
2020-05-15,688,577.14
2020-05-16,358,555.57
2020-05-17,259,552.71
2020-05-18,430,549.14
2020-05-19,666,536.57
2020-05-20,808,552.29
2020-05-21,610,545.57
2020-05-22,532,523.29
2020-05-23,403,529.71
2020-05-24,210,522.71
2020-05-25,490,531.29
2020-05-26,746,542.71
2020-05-27,800,541.57
2020-05-28,774,565.00
2020-05-29,773,599.43
2020-05-30,432,603.57
2020-05-31,265,611.43
2020-06-01,648,634.00
2020-06-02,900,656.00
2020-06-03,1046,691.14
2020-06-04,1039,729.00
2020-06-05,1146,782.29
2020-06-06,780,832.00
2020-06-07,462,860.14
2020-06-08,677,864.29
2020-06-09,937,869.57
2020-06-10,1437,925.43
2020-06-11,1293,961.71
2020-06-12,1329,987.86
2020-06-13,1032,1023.86
2020-06-14,418,1017.57
2020-06-15,685,1018.71
2020-06-16,1209,1057.57
2020-06-17,1457,1060.43
2020-06-18,1494,1089.14
2020-06-19,1209,1072.00
2020-06-20,698,1024.29
2020-06-21,321,1010.43
2020-06-22,800,1026.86
2020-06-23,1309,1041.14
2020-06-24,1696,1075.29
2020-06-25,1276,1044.14
2020-06-26,1204,1043.43
2020-06-27,755,1051.57
2020-06-28,415,1065.00
2020-06-29,726,1054.43
2020-06-30,808,982.86
2020-07-01,685,838.43
2020-07-02,687,754.29
2020-07-03,694,681.43
2020-07-04,364,625.57
2020-07-05,315,611.29
2020-07-06,251,543.43
2020-07-07,278,467.71
2020-07-08,533,446.00
2020-07-09,334,395.57
2020-07-10,369,349.14
2020-07-11,308,341.14
2020-07-12,106,311.29
2020-07-13,170,299.71
2020-07-14,312,304.57
2020-07-15,287,269.43
2020-07-16,268,260.00
2020-07-17,284,247.86
2020-07-18,191,231.14
2020-07-19,110,231.71
2020-07-20,131,226.14
2020-07-21,226,213.86
2020-07-22,297,215.29
2020-07-23,220,208.43
2020-07-24,262,205.29
2020-07-25,138,197.71
2020-07-26,42,188.00
2020-07-27,71,179.43
2020-07-28,283,187.57
2020-07-29,301,188.14
2020-07-30,302,199.86
2020-07-31,258,199.29
2020-08-01,303,222.86
2020-08-02,38,222.29
2020-08-03,165,235.71
2020-08-04,333,242.86
2020-08-05,425,260.57
2020-08-06,378,271.43
2020-08-07,380,288.86
2020-08-08,260,282.71
2020-08-09,73,287.71
2020-08-10,196,292.14
2020-08-11,417,304.14
2020-08-12,443,306.71
2020-08-13,363,304.57
2020-08-14,344,299.43
2020-08-15,226,294.57
2020-08-16,63,293.14
2020-08-17,174,290.00
2020-08-18,314,275.29
2020-08-19,351,262.14
2020-08-20,333,257.86
2020-08-21,298,251.29
2020-08-22,160,241.86
2020-08-23,57,241.00
2020-08-24,174,241.00
2020-08-25,222,227.86
2020-08-26,244,212.57
2020-08-27,202,193.86
2020-08-28,179,176.86
2020-08-29,131,172.71
2020-08-30,48,171.43
2020-08-31,162,169.71
2020-09-01,171,162.43
2020-09-02,213,158.00
2020-09-03,286,170.00
2020-09-04,262,181.86
2020-09-05,171,187.57
2020-09-06,67,190.29
2020-09-07,185,193.57
2020-09-08,236,202.86
2020-09-09,314,217.29
2020-09-10,254,212.71
2020-09-11,291,216.86
2020-09-12,206,221.86
2020-09-13,106,227.43
2020-09-14,220,232.43
2020-09-15,292,240.43
2020-09-16,330,242.71
2020-09-17,389,262.00
2020-09-18,437,282.86
2020-09-19,279,293.29
2020-09-20,133,297.14
2020-09-21,266,303.71
2020-09-22,438,324.57
2020-09-23,553,356.43
2020-09-24,540,378.00
2020-09-25,630,405.57
2020-09-26,325,412.14
2020-09-27,167,417.00
2020-09-28,378,433.00
2020-09-29,613,458.00
2020-09-30,689,477.43
2020-10-01,633,490.71
2020-10-02,712,502.43
2020-10-03,461,521.86
2020-10-04,156,520.29
2020-10-05,374,519.71
2020-10-06,786,544.43
2020-10-07,831,564.71
2020-10-08,834,593.43
2020-10-09,783,603.57
2020-10-10,509,610.43
2020-10-11,161,611.14
2020-10-12,637,648.71
2020-10-13,916,667.29
2020-10-14,968,686.86
2020-10-15,902,696.57
2020-10-16,1179,753.14
2020-10-17,697,780.00
2020-10-18,321,802.86
2020-10-19,771,822.00
2020-10-20,1289,875.29
2020-10-21,1571,961.43
2020-10-22,1666,1070.57
2020-10-23,1867,1168.86
2020-10-24,1477,1280.29
2020-10-25,514,1307.86
2020-10-26,1069,1350.43
2020-10-27,2414,1511.14
2020-10-28,3389,1770.86
2020-10-29,3262,1998.86
2020-10-30,4056,2311.57
2020-10-31,2987,2527.29
2020-11-01,1297,2639.14
2020-11-02,1569,2710.57
2020-11-03,3608,2881.14
2020-11-04,4482,3037.29
2020-11-05,4744,3249.00
2020-11-06,4454,3305.86
2020-11-07,4451,3515.00
2020-11-08,2097,3629.29
2020-11-09,3725,3937.29
2020-11-10,4497,4064.29
2020-11-11,5709,4239.57
2020-11-12,5564,4356.71
2020-11-13,6730,4681.86
2020-11-14,3513,4547.86
2020-11-15,1581,4474.14
2020-11-16,2544,4305.43
2020-11-17,4458,4299.86
2020-11-18,4961,4193.00
2020-11-19,7609,4485.14
2020-11-20,5458,4303.43
2020-11-21,4492,4443.29
2020-11-22,2422,4563.43
2020-11-23,3877,4753.86
2020-11-24,5674,4927.57
2020-11-25,6066,5085.43
2020-11-26,6903,4984.57
2020-11-27,6462,5128.00
2020-11-28,3825,5032.71
2020-11-29,2753,5080.00
2020-11-30,3480,5023.29
2020-12-01,5819,5044.00
2020-12-02,6547,5112.71
2020-12-03,6986,5124.57
2020-12-04,7338,5249.71
2020-12-05,4864,5398.14
2020-12-06,1803,5262.43
2020-12-07,3782,5305.57
2020-12-08,7446,5538.00
2020-12-09,8398,5802.43
2020-12-10,6693,5760.57
2020-12-11,7717,5814.71
2020-12-12,6538,6053.86
2020-12-13,3057,6233.00
2020-12-14,3534,6197.57
2020-12-15,7001,6134.00
2020-12-16,8824,6194.86
2020-12-17,9640,6615.86
2020-12-18,7917,6644.43
2020-12-19,5509,6497.43
2020-12-20,3752,6596.71
2020-12-21,5160,6829.00
2020-12-22,6595,6771.00
2020-12-23,11376,7135.57
2020-12-24,5036,6477.86
2020-12-25,2793,5745.86
2020-12-26,2966,5382.57
2020-12-27,3208,5304.86
2020-12-28,7091,5580.71
2020-12-29,8872,5906.00
2020-12-30,10459,5775.00
2020-12-31,6999,6055.43
2021-01-01,2618,6030.43
2021-01-02,2531,5968.29
2021-01-03,2754,5903.43
2021-01-04,6984,5888.14
2021-01-05,7546,5698.71
2021-01-06,5029,4923.00
2021-01-07,7151,4944.71
2021-01-08,5696,5384.43
2021-01-09,4736,5699.43
2021-01-10,2317,5637.00
2021-01-11,4648,5303.29
2021-01-12,5340,4988.14
2021-01-13,6596,5212.00
2021-01-14,4747,4868.57
2021-01-15,4205,4655.57
2021-01-16,2162,4287.86
2021-01-17,1250,4135.43
2021-01-18,2116,3773.71
2021-01-19,4732,3686.86
2021-01-20,4949,3451.57
2021-01-21,4199,3373.29
2021-01-22,3723,3304.43
2021-01-23,2368,3333.86
2021-01-24,1147,3319.14
2021-01-25,1885,3286.14
2021-01-26,4189,3208.57
2021-01-27,4106,3088.14
2021-01-28,2371,2827.00
2021-01-29,4254,2902.86
2021-01-30,2695,2949.57
2021-01-31,1164,2952.00
2021-02-01,1552,2904.43
2021-02-02,4317,2922.71
2021-02-03,3737,2870.00
2021-02-04,3397,3016.57
2021-02-05,3260,2874.57
2021-02-06,2333,2822.86
2021-02-07,1013,2801.29
2021-02-08,1505,2794.57
2021-02-09,4070,2759.29
2021-02-10,4353,2847.29
2021-02-11,3807,2905.86
2021-02-12,3569,2950.00
2021-02-13,2771,3012.57
2021-02-14,1211,3040.86
2021-02-15,1902,3097.57
2021-02-16,4206,3117.00
2021-02-17,4965,3204.43
2021-02-18,4135,3251.29
2021-02-19,4028,3316.86
2021-02-20,2781,3318.29
2021-02-21,1599,3373.71
2021-02-22,2543,3465.29
2021-02-23,5407,3636.86
2021-02-24,4978,3638.71
2021-02-25,4831,3738.14
2021-02-26,4583,3817.43
2021-02-27,3107,3864.00
2021-02-28,1243,3813.14
2021-03-01,2829,3854.00
2021-03-02,6191,3966.00
2021-03-03,4876,3951.43
2021-03-04,4884,3959.00
2021-03-05,4070,3885.71
2021-03-06,3455,3935.43
2021-03-07,1451,3965.14
2021-03-08,1984,3844.43
2021-03-09,5928,3806.86
2021-03-10,5329,3871.57
2021-03-11,5334,3935.86
2021-03-12,4996,4068.14
2021-03-13,3953,4139.29
2021-03-14,1040,4080.57
2021-03-15,2717,4185.29
2021-03-16,6786,4307.86
2021-03-17,6432,4465.43
2021-03-18,5740,4523.43
2021-03-19,5406,4582.00
2021-03-20,4380,4643.00
2021-03-21,1579,4720.00
2021-03-22,2689,4716.00
2021-03-23,7654,4840.00
2021-03-24,7711,5022.71
2021-03-25,6369,5112.57
2021-03-26,6295,5239.57
2021-03-27,5197,5356.29
2021-03-28,1983,5414.00
2021-03-29,2966,5453.57
2021-03-30,8468,5569.86
2021-03-31,8297,5653.57
2021-04-01,6978,5740.57
2021-04-02,6846,5819.29
2021-04-03,3407,5563.57
2021-04-04,1449,5487.29
2021-04-05,3110,5507.86
2021-04-06,6814,5271.57
2021-04-07,7833,5205.29
2021-04-08,7758,5316.71
2021-04-09,7631,5428.86
2021-04-10,5628,5746.14
2021-04-11,2390,5880.57
2021-04-12,3475,5932.71
2021-04-13,8875,6227.14
2021-04-14,7100,6122.43
2021-04-15,7669,6109.71
2021-04-16,6442,5939.86
2021-04-17,4987,5848.29
2021-04-18,2514,5866.00
2021-04-19,2716,5757.57
2021-04-20,7542,5567.14
2021-04-21,7711,5654.43
2021-04-22,6251,5451.86
2021-04-23,5509,5318.57
2021-04-24,4569,5258.86
2021-04-25,1758,5150.86
2021-04-26,3072,5201.71
2021-04-27,7276,5163.71
2021-04-28,7151,5083.71
2021-04-29,5943,5039.71
2021-04-30,5431,5028.57
2021-05-01,4756,5055.29
2021-05-02,1718,5049.57
2021-05-03,3073,5049.71
2021-05-04,7040,5016.00
2021-05-05,6500,4923.00
2021-05-06,5712,4890.00
